,0
1457,0.34883824
1458,0.3391961
1459,0.29573435
1460,0.26490226
1461,0.24968433
1462,0.27457345
1463,0.29735503
1464,0.28364104
1465,0.34347558
1466,0.31222633
1467,0.2837038
1468,0.2661451
1469,0.24874732
1470,0.23187764
1471,0.21743825
1472,0.20255226
1473,0.19820121
1474,0.19472352
1475,0.5088887
1476,0.4501098
1477,0.4476232
1478,0.399771
1479,0.36605525
1480,0.33739692
1481,0.30979756
1482,0.28683335
1483,0.26969472
1484,0.25323972
1485,0.47494727
1486,0.4340902
1487,0.4004733
1488,0.3787826
1489,0.37343258
1490,0.8764802
1491,0.98208416
1492,0.8551272
1493,0.75415266
1494,0.6733301
1495,0.60713565
1496,0.55251753
1497,0.5063587
1498,0.46730712
1499,0.43311173
1500,0.40502065
1501,0.37875205
1502,0.3575108
1503,0.36434788
1504,0.34658605
1505,0.3294086
1506,0.3148576
1507,0.30239856
1508,0.2908664
1509,0.2794826
1510,0.27024657
1511,0.26232708
1512,0.25637862
1513,0.24684057
1514,0.23527956
1515,0.23878786
1516,0.23495415
1517,0.23482223
1518,0.22707175
1519,0.22002693
1520,0.21400216
1521,0.21242294
1522,0.20887986
1523,0.2039058
1524,0.2012982
1525,0.22101405
1526,0.21618623
1527,0.22258453
1528,0.24220815
1529,0.23625928
1530,0.26021856
1531,0.28893918
1532,0.28605485
1533,0.3450365
1534,0.46748906
1535,0.7062418
1536,0.65153706
1537,0.6082007
1538,1.3767252
1539,1.2819846
1540,1.1251884
1541,1.0043906
1542,1.0060539
1543,1.677455
1544,1.436449
1545,1.2533152
1546,1.10611
1547,1.0555983
1548,1.4397578
1549,1.2590084
1550,1.1164117
1551,1.0019692
1552,0.96349317
1553,0.99198496
1554,0.8959381
1555,0.8229204
1556,1.4619938
1557,21.064896
1558,40.01227
1559,40.52229
1560,27.8599
1561,16.33875
1562,12.216742
1563,9.45077
1564,6.843238
1565,5.2348175
1566,4.1075354
1567,3.4811444
1568,4.7536535
1569,3.5767608
1570,2.6827807
1571,2.198007
1572,1.8608645
1573,1.6084175
1574,1.3917116
1575,1.2181163
1576,1.1837945
1577,1.1485773
1578,3.3007197
1579,2.9647713
1580,2.3577976
1581,2.1015348
1582,1.7294865
1583,1.524382
1584,1.4321473
1585,2.627319
1586,2.1039722
1587,1.9885241
1588,1.6494775
1589,1.4742478
1590,1.2744164
1591,1.119749
1592,2.3555026
1593,4.770687
1594,3.5634904
1595,3.2283306
1596,25.916233
1597,27.60693
1598,25.336918
1599,18.623186
1600,12.375497
1601,8.157996
1602,5.5837893
1603,4.0726776
1604,3.3918877
1605,6.1323843
1606,4.3978367
1607,3.3273625
1608,2.664703
1609,2.238791
1610,1.9047866
1611,1.6830885
1612,2.570817
1613,2.2354484
1614,3.0658271
1615,4.4315886
1616,3.5587509
1617,3.3903913
1618,3.3484526
1619,2.3703818
1620,1.9659113
1621,1.6569959
1622,1.4422833
1623,1.3999071
1624,4.760057
1625,3.4558709
1626,4.5882263
1627,3.4604716
1628,2.6405816
1629,2.0025704
1630,2.7355967
1631,2.196074
1632,2.0852065
1633,1.5106338
1634,1.2478894
1635,1.1345246
1636,1.0225391
1637,0.932675
1638,2.8966162
1639,2.1849658
1640,1.5529027
1641,1.274322
1642,1.2171525
1643,1.5204554
1644,1.3210068
1645,1.1877174
1646,1.0709281
1647,0.86651516
1648,0.75787115
1649,0.69458413
1650,0.6127428
1651,0.5631718
1652,0.5342021
1653,0.7511308
1654,0.69922405
1655,0.6525693
1656,0.5778185
1657,0.5297096
1658,0.50425035
1659,0.5613209
1660,0.61507463
1661,0.5825208
1662,0.49359417
1663,0.4527697
1664,0.43566775
1665,0.42045137
1666,0.47100928
1667,0.5095054
1668,0.47522286
1669,0.46298885
1670,0.6012973
1671,0.7774846
1672,1.3017946
1673,5.238056
1674,12.146506
1675,8.94914
1676,6.3619094
1677,4.408665
1678,3.197391
1679,2.4389935
1680,1.9111147
1681,1.5694363
1682,1.288768
1683,1.2028146
1684,1.4192847
1685,2.2754247
1686,1.8114916
1687,1.9350914
1688,1.3532395
1689,0.9834832
1690,0.8480602
1691,0.7638613
1692,0.84214365
1693,0.8941053
1694,0.8176762
